recency,frequency,monetary,normalized_recency,normalized_frequency,normalized_monetary,fcm_cluster,k_means_cluster,Cluster_name
157,5,16466,3,4,5,3,4,Loyal Customer
109,4,9911,4,3,4,3,4,Loyal Customer
821,1,5120,1,1,2,1,1,Hibernating
1,3,2723,5,2,1,3,0,Potential Loyalist
840,1,395,1,1,1,1,1,Hibernating
183,2,3213,3,1,1,1,1,Hibernating
22,9,10980,5,5,4,0,3,Champions
105,2,7764,4,1,3,2,4,Loyal Customer
138,6,13551,4,5,5,0,3,Champions
768,4,13020,1,3,4,4,2,About to Sleep
133,4,12300,4,3,4,3,4,Loyal Customer
149,4,13823,4,3,5,3,4,Loyal Customer
370,2,3504,2,1,1,1,1,Hibernating
159,3,1000,3,2,1,4,2,About to Sleep
3,2,1379,5,1,1,2,0,Potential Loyalist
448,4,6773,2,3,3,2,0,About to Sleep
351,2,3768,2,1,1,1,1,Hibernating
351,3,5963,2,2,2,4,2,About to Sleep
2,5,12495,5,4,4,0,3,Champions
505,2,4308,1,1,2,1,1,Hibernating
261,3,2317,3,2,1,4,2,About to Sleep
494,6,21756,1,5,5,2,0,Potential Loyalist
63,4,8430,5,3,3,0,3,Champions
397,4,6146,2,3,2,4,2,About to Sleep
570,2,2038,1,1,1,1,1,Hibernating
497,2,3439,1,1,1,1,1,Hibernating
82,3,14860,4,2,5,3,4,Loyal Customer
309,1,816,2,1,1,1,1,Hibernating
264,3,4904,3,2,2,4,2,About to Sleep
165,6,13768,3,5,5,3,3,Champions
905,2,8455,1,1,3,4,2,About to Sleep
40,5,21934,5,4,5,0,3,Champions
21,6,12094,5,5,4,0,3,Champions
103,5,12812,4,4,4,3,3,Champions
191,5,18779,3,4,5,3,4,Loyal Customer
341,3,8285,2,2,3,4,2,About to Sleep
185,5,7594,3,4,3,2,0,Potential Loyalist
390,2,8292,2,1,3,4,2,About to Sleep
381,2,4151,2,1,2,4,2,Hibernating
330,5,6093,2,4,2,2,0,Potential Loyalist
176,3,9141,3,2,3,2,2,About to Sleep
203,2,544,3,1,1,1,1,Hibernating
718,3,12410,1,2,4,4,2,About to Sleep
413,2,4720,2,1,2,4,2,Hibernating
205,5,6669,3,4,2,2,0,Potential Loyalist
49,6,11349,5,5,4,0,3,Champions
168,3,4879,3,2,2,4,2,About to Sleep
738,2,6440,1,1,2,1,1,Hibernating
150,4,14476,3,3,5,3,4,Loyal Customer
274,6,16776,2,5,5,3,0,Potential Loyalist
177,5,17302,3,4,5,3,4,Loyal Customer
36,5,10536,5,4,4,0,3,Champions
162,5,10300,3,4,4,3,0,Potential Loyalist
341,2,2712,2,1,1,1,1,Hibernating
416,3,10410,2,2,4,4,2,About to Sleep
96,4,10815,4,3,4,3,4,Loyal Customer
632,1,452,1,1,1,1,1,Hibernating
43,8,14519,5,5,5,0,3,Champions
192,2,4212,3,1,2,4,2,About to Sleep
580,2,4020,1,1,2,1,1,Hibernating
9,6,27223,5,5,5,0,3,Champions
90,3,5414,4,2,2,2,0,Potential Loyalist
354,1,5980,2,1,2,4,2,Hibernating
140,3,6637,4,2,2,2,0,Potential Loyalist
446,2,2768,2,1,1,1,1,Hibernating
290,5,10116,2,4,4,2,0,Potential Loyalist
309,2,9482,2,1,3,4,2,About to Sleep
112,4,6007,4,3,2,2,0,Potential Loyalist
74,4,16172,4,3,5,3,4,Loyal Customer
144,4,7325,4,3,3,3,0,Potential Loyalist
191,4,4920,3,3,2,2,0,Potential Loyalist
900,2,8502,1,1,3,4,2,About to Sleep
128,4,10132,4,3,4,3,4,Loyal Customer
19,5,9444,5,4,3,0,3,Champions
146,6,9032,4,5,3,0,3,Champions
102,7,16937,4,5,5,0,3,Champions
471,3,3569,1,2,1,1,1,Hibernating
98,4,6180,4,3,2,2,0,Potential Loyalist
16,7,9930,5,5,4,0,3,Champions
147,4,11720,4,3,4,3,4,Loyal Customer
410,4,5247,2,3,2,4,2,About to Sleep
1046,1,500,1,1,1,1,1,Hibernating
49,5,8554,5,4,3,0,3,Champions
11,6,14129,5,5,5,0,3,Champions
575,1,1095,1,1,1,1,1,Hibernating
170,3,4614,3,2,2,4,2,About to Sleep
59,7,12308,5,5,4,0,3,Champions
44,5,13351,5,4,4,0,3,Champions
44,4,8114,5,3,3,0,3,Champions
183,6,14239,3,5,5,3,3,Champions
33,3,5099,5,2,2,3,3,Champions
446,3,5832,2,2,2,4,2,About to Sleep
92,7,14824,4,5,5,0,3,Champions
276,3,3644,2,2,1,1,1,Hibernating
